epoch,dense_3_loss,dense_3_mean_absolute_error,loss              ,softmax_categorical_accuracy,softmax_loss,val_dense_3_loss,val_dense_3_mean_absolute_error,val_loss          ,val_softmax_categorical_accuracy,val_softmax_loss
0    ,0.90781     ,0.90067106                 ,3.6587156356637935,0.082833886                 ,2.726076    ,0.8345559       ,0.84186673                     ,3.5611923301043458,0.09629246                      ,2.7033937
1    ,0.85254294  ,0.8498666                  ,3.5330314949711648,0.14241584                  ,2.6555855   ,0.81979376      ,0.8233086                      ,3.436302555575205 ,0.19254176                      ,2.5910475
2    ,0.8349639   ,0.8328069                  ,3.3997231155865464,0.21588975                  ,2.5384748   ,0.82275534      ,0.83295304                     ,3.324719323168925 ,0.24601838                      ,2.4774635
3    ,0.82401687  ,0.8218443                  ,3.315521144055456 ,0.26622272                  ,2.4644992   ,0.81590617      ,0.8091928                      ,3.2419662361156543,0.33199534                      ,2.397713
4    ,0.81258297  ,0.81092924                 ,3.247285717503036 ,0.32967073                  ,2.4073088   ,0.8069331       ,0.78994316                     ,3.194916379771269 ,0.36397773                      ,2.3602972
5    ,0.8011625   ,0.79974145                 ,3.2149818508086097,0.3652608                   ,2.3865373   ,0.7951294       ,0.79584426                     ,3.16407888067047  ,0.40316802                      ,2.343253
6    ,0.7915513   ,0.79024                    ,3.195646992181347 ,0.38285238                  ,2.3770566   ,0.7954018       ,0.7932471                      ,3.152837075054777 ,0.4235401                       ,2.3303347
7    ,0.7814751   ,0.78123546                 ,3.177469643318693 ,0.3982242                   ,2.3690202   ,0.7725273       ,0.7836129                      ,3.1283705978730256,0.42263368                      ,2.3283777
8    ,0.77526194  ,0.7750987                  ,3.1649201142977574,0.4063818                   ,2.3628342   ,0.7886159       ,0.7774166                      ,3.1409814144746018,0.42902154                      ,2.3262982
9    ,0.76957965  ,0.76931757                 ,3.1550157672072006,0.41198668                  ,2.3584814   ,0.75816905      ,0.7653847                      ,3.1074796962030056,0.43290603                      ,2.321048
10   ,0.76647997  ,0.7665821                  ,3.1480168522352474,0.41402146                  ,2.3546576   ,0.78469956      ,0.7677968                      ,3.127300426717035 ,0.43553886                      ,2.3150976
11   ,0.75940454  ,0.7594597                  ,3.137528252592803 ,0.41764706                  ,2.3510373   ,0.8098053       ,0.76102                        ,3.1505812726211597,0.44408476                      ,2.3149583
12   ,0.75444496  ,0.7549239                  ,3.129330118770649 ,0.41731408                  ,2.3477058   ,0.79456645      ,0.7739226                      ,3.1340203638692974,0.4353662                       ,2.3119104
13   ,0.75113124  ,0.75179285                 ,3.123941336725978 ,0.42034775                  ,2.345465    ,0.75650585      ,0.7584133                      ,3.095102161813489 ,0.44399846                      ,2.310561
14   ,0.74753195  ,0.747394                   ,3.1179696744960457,0.42114317                  ,2.3430607   ,0.7638113       ,0.7459636                      ,3.093269422091439 ,0.44788295                      ,2.3006346
15   ,0.74433476  ,0.7444744                  ,3.1116674980498047,0.42430633                  ,2.3397384   ,0.77173144      ,0.76592004                     ,3.1021270790542173,0.43769693                      ,2.3027914
16   ,0.74157983  ,0.7429655                  ,3.107334677590029 ,0.4255457                   ,2.3379877   ,0.74716324      ,0.734023                       ,3.0758365370200385,0.43709266                      ,2.3002467
17   ,0.736812    ,0.73700833                 ,3.1016222797320414,0.42408437                  ,2.3368776   ,0.7666575       ,0.7519434                      ,3.0944310043033987,0.4431784                       ,2.3014648
18   ,0.73453206  ,0.73527235                 ,3.0983908579696164,0.42530522                  ,2.3356187   ,0.7552188       ,0.7399299                      ,3.0840007873031996,0.44188356                      ,2.2995238
19   ,0.7322675   ,0.73278517                 ,3.094973033770252 ,0.42336294                  ,2.3341565   ,0.7522003       ,0.7460248                      ,3.0844127732186815,0.4453796                       ,2.302835
20   ,0.727408    ,0.72710145                 ,3.089525265187367 ,0.42475027                  ,2.3335736   ,0.8098876       ,0.7442594                      ,3.138701757958064 ,0.44667444                      ,2.2996817
21   ,0.72559047  ,0.72566193                 ,3.089157199718491 ,0.42404735                  ,2.3346653   ,0.7712021       ,0.7318101                      ,3.104001213578208 ,0.4339419                       ,2.3028343
